Page,topic,Date,Pageviews
/article/a-texas-beheading-a-mexican-cartel-and-the-border-agent-facing-charges/,"border-patrol,national-security",20170110,16
/article/a-texas-beheading-a-mexican-cartel-and-the-border-agent-facing-charges/,"border-patrol,national-security",20170111,16
/article/a-texas-beheading-a-mexican-cartel-and-the-border-agent-facing-charges/,"border-patrol,national-security",20170112,16
/article/a-texas-beheading-a-mexican-cartel-and-the-border-agent-facing-charges/,"border-patrol,national-security",20170125,16
/article/alabama-woman-who-ran-dangerous-day-cares-appears-to-be-out-of-business/,"accountability,the-god-loophole",20170129,16
/article/alabama-woman-who-ran-dangerous-day-cares-appears-to-be-out-of-business/,"accountability,the-god-loophole",20170130,16
/article/alabama-woman-who-ran-dangerous-day-cares-appears-to-be-out-of-business/,"accountability,the-god-loophole",20170313,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170102,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170108,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170109,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170113,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170131,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170201,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170205,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170214,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170227,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170301,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170308,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170309,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170314,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170315,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170316,16
/article/americas-gun-toting-security-guards-may-not-be-fit-for-duty/,"criminal-justice,guns,security-guards",20170326,16
/article/americas-trapping-boom-relies-on-cruel-and-grisly-tools/,environment,20170103,16
/article/americas-trapping-boom-relies-on-cruel-and-grisly-tools/,environment,20170322,16
/article/americas-trapping-boom-relies-on-cruel-and-grisly-tools/,environment,20170329,16
/article/answers-to-your-burning-california-drought-questions/,"environment,the-secrets-of-the-drought",20170120,16
/article/answers-to-your-burning-california-drought-questions/,"environment,the-secrets-of-the-drought",20170126,16
/article/answers-to-your-burning-california-drought-questions/,"environment,the-secrets-of-the-drought",20170303,16
/article/are-child-care-records-online-in-your-state/,day-care,20170228,16
/article/are-child-care-records-online-in-your-state/,day-care,20170307,16
/article/armed-guard-paralyzes-unarmed-teen-over-stolen-cheetos/,"guns,security-guards",20170311,16
/article/bad-deals-the-perils-of-bargaining-for-justice/,"and-justice-for-some,inequality",20170113,16
/article/bad-deals-the-perils-of-bargaining-for-justice/,"and-justice-for-some,inequality",20170130,16
/article/bad-deals-the-perils-of-bargaining-for-justice/,"and-justice-for-some,inequality",20170216,16
/article/bad-deals-the-perils-of-bargaining-for-justice/,"and-justice-for-some,inequality",20170324,16
