"Description","Platform","Date of Impact","Macro","Meso","Micro","Media","Story","Story Link","Publications","Story Partner","Topic","Subtopic","Grant","Tags","Submitter","Author","Attachments","Additional notes","Edit","ID"
"Is Your Company Empowering Whistleblowers?","","01/01/2017","","","","Mention / Citation","","","

  Strategic Finance Magazine","","CIR (general)","","","","","","",", 2016.

http://bit.ly/2hn5Lcp

WEBSITES

The Center for Investigative Reporting (CIR)

CIR provides a list of whistleblower links and","edit","63361"
"Dollar General's fire violations spur economist's plea for criminal charges","","01/04/2017","","","","Full story","","","

  Newsnet5.com","","Inequality, Working world","","","Dollar General","","","","these hazards before tragedy strikes.”

This story originally appeared on RevealNews.org

Now, a former OSHA official is going a step","edit","63406"
"Survey of pawnshop users shows where banks fail low-income Americans","","01/04/2017","","","","Full story","","","

  106.3 The Groove","","Inequality, Working world","","","Pawn Shops","","","","to gain significant legislative traction.

RevealNews.org is the website for the Center for Investigative Reporting, a content partner for","edit","63411"
"Foundations and the foundation of a new way of funding journalism","","01/04/2017","","","","Mention / Citation","","","

  Journalism.co.uk","","CIR (general)","","","","","","","to equal those of many papers both in scale and numbers. The Center for Investigative Reporting (CIR) in California, for example, has a","edit","63416"
"Things to see and hear: Podcast and TV/Movie Round-Up","","01/04/2017","","","","Blog mentions content","","","

  BookLust","","Reveal (general)","","","","","","","Re:Union, is now host of Reveal, a podcast from the Center for Investigative Reporting. This podcast is SERIOUSLY excellent. Al Letson, an","edit","63446"
"Uber Prepares for First Public Hearing in New York Over Disclosure Rules","","01/06/2017","","","","Mention / Citation","","","

  Insurance Journal","","Government accountability, Security/surveillance","Digital privacy","","Uber","","","","up to. An article published in December by the Center for Investigative Reporting detailed allegations from former employees that people in","edit","63496"
"‘Ordinary’ area woman has spent nearly a decade trying to expose an international nonprofit","","01/05/2017","","","","Mention / Citation","","","

  Lawrence Journal-World","","Government accountability, International","","","Planet Aid, Teacher's Group","","","","of the federal grant money in question.

Alonge, and now the Center for Investigative Reporting, say Planet Aid is just one part of a much","edit","63501"
"Interested in Metrics and Impact? Contribute to MetricShift!","","01/05/2017","","","","Mention / Citation","","","

  SeriouslyMedia","","Impact","","","","","","","we’ve published come from the Los Angeles Times, Reveal/Center for Investigative Reporting, Independent Lens, WISC-TV, Chattanooga Times","edit","63511"
"Sterile judgment: Sacramento woman’s dismissed allegations recall California’s shameful eugenics past","","01/05/2017","","","","Blog mentions content","","","

  Newsreview.com","","Government accountability, Inequality, Women's rights","Sterilization","","","","","","real-life precedent, however: In 2013, the Center for Investigative Reporting uncovered the illegal sterilizations of 148 female inmates at","edit","63516"
"Editorial: Research before you donate","","01/07/2017","","","","Editorial","","","

  Lawrence Journal-World","","Government accountability, International","","","Planet Aid, Teacher's Group","","","","and charities fraud charges. According to a report by the Center for Investigative Reporting, Petersen is believed to be living at a $25","edit","63521"
"Daily Kos reviews CIR, says it's a good org, but doesn't go into systemic injustice. Reviewing nonprofit media: Reveal (Center for Investigative Reporting)","","01/08/2017","","","","Story about organization","","","

  Daily Kos","","CIR (general), Reveal (general)","","","","","","","we’re taking a look at Reveal, a publication by the Center for Investigative Reporting.

Like ProPublica, CIR/Reveal investigates abuse and","edit","63531"
"Sorry Meryl Streep, But Here's The Journalism Outlets You Should Donate To Instead Of CPJ","","01/09/2017","","","","Story about organization","","","

  Forbes.com","","CIR (general), Reveal (general)","","","","","","","Factcheck.org
Investigative Reporters & Editors
ProPublica
The Center for Investigative Reporting
The Center for Public Integrity
The Center","edit","63566"
"Onward Cannabis Soldiers: Texas Vets Take the Lead in Lobbying for Medical Marijuana","","01/10/2017","","","","Mention / Citation","","","

  Dallas Observer","","Veterans","VA Backlog","","","","","","national average, according to a 2013 analysis by the Center for Investigative Reporting.

The painting inspired Bass to create Operation","edit","63596"
